psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfFlux_u,psfFlux_g,psfFlux_r,psfFlux_i,psfFlux_z,cModelFlux_u,cModelFlux_g,cModelFlux_r,cModelFlux_i,cModelFlux_z,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,class
18.3136,16.99695,16.4547,16.19937,16.11457,47.26679,158.9345,261.8899,331.3226,358.2374,48.304,158.3482,263.1004,328.7307,364.3072,71.27245,156.8191,270.0391,338.8039,376.0286,18.33168,17.03189,16.48461,16.25083,16.13999,STAR
24.7168,21.98754,20.16788,19.4888,18.9991,-0.02119815,1.59813,8.565712,16.01127,25.11782,3.542053,3.071897,15.75035,32.10509,57.32022,1.558195,1.818299,10.99018,22.38991,33.42291,22.35892,21.35016,19.55035,18.80216,18.1735,GALAXY
22.59306,21.31419,20.42038,20.05451,19.71615,0.8965022,2.978014,6.787512,9.506913,12.94572,30.46915,33.85599,67.09373,92.33623,109.3494,2.368015,4.450003,10.01599,15.76423,21.69188,19.43776,18.76833,18.05611,17.65886,17.57552,GALAXY
20.44641,19.2005,18.51552,17.95031,17.61313,6.625836,20.88297,39.24535,66.05028,90.09903,53.24572,172.8595,339.0265,510.5191,694.9312,11.58939,30.02175,61.61102,95.40282,123.4922,18.46643,17.00685,16.24518,15.83222,15.56067,GALAXY
20.88601,19.09641,18.01702,17.60508,17.22472,4.417319,22.98424,62.11398,90.77527,128.8545,10.67976,48.70133,129.1858,196.0477,276.4836,9.946426,28.07167,74.2188,112.1273,149.1703,20.01594,18.33018,17.27274,16.82034,16.44077,GALAXY
21.27498,19.28054,18.21595,17.78063,17.38655,3.083997,19.39884,51.71497,77.22313,111.01,11.52573,42.04045,118.633,174.3448,256.0091,6.872222,21.72654,63.19975,96.45995,127.3953,20.1294,18.44288,17.32401,16.87918,16.45186,GALAXY
20.3295,18.66676,17.98268,17.60565,17.37234,7.379802,34.1422,64.10992,90.72761,112.4724,12.94278,68.92035,145.0911,195.8068,247.68,6.630838,32.51129,74.65124,99.27512,120.5545,19.67081,17.96714,17.18483,16.84509,16.6091,GALAXY
19.5147,18.46637,17.80938,17.25322,16.9826,15.63452,41.06289,75.20495,125.5198,161.0463,112.5126,316.2214,584.6731,838.0499,1085.706,24.69014,56.29937,110.3366,173.4161,211.8407,17.58109,16.35838,15.69998,15.32067,15.07253,GALAXY
21.77868,19.98585,18.62141,18.08046,17.70781,1.933153,10.13035,35.59852,58.58826,82.57353,2.243319,20.48161,71.90248,115.6795,153.0192,3.460018,11.0794,42.11044,68.38927,91.34603,21.85002,19.26759,17.9203,17.39986,17.06677,GALAXY
19.90673,18.92868,18.32386,17.90634,17.64543,10.8952,26.82389,46.82214,68.7797,87.45729,30.64013,71.52919,112.1397,166.3241,196.1878,16.60389,35.07508,60.52996,92.37005,106.188,18.94475,17.98683,17.451,17.02182,16.86468,GALAXY
21.22402,24.94388,20.38698,24.00478,23.4739,3.232806,0.02838489,6.999732,0.120531,-0.9350505,56.63107,0.02651009,58.38993,0.110901,-0.8460533,9.926476,25.11812,60.60996,96.1924,129.0663,18.79023,28.98773,18.27662,26.74864,27.24709,GALAXY
19.78293,19.58685,19.34786,19.17282,19.23557,12.21155,14.62992,18.2321,21.4211,20.19248,12.60454,14.9967,18.2578,21.39034,20.97227,23.16022,15.32022,18.07624,21.14065,20.35264,19.83792,19.60181,19.39137,19.23455,19.25343,QSO
22.70515,20.81322,19.24284,18.66232,18.26032,0.8041488,4.726654,20.08398,34.28159,49.63369,1.133288,14.47329,69.71828,121.7469,171.966,2.318552,6.168592,26.08952,43.69826,59.89372,21.25833,19.61954,17.95612,17.34338,16.9339,GALAXY
20.68615,18.92045,17.90598,17.39371,17.00927,5.311756,27.02799,68.80268,110.285,157.1381,11.52881,58.73994,142.2393,213.3933,298.756,11.78718,33.89704,85.26399,133.8931,179.1494,19.87335,18.17405,17.19273,16.7154,16.35269,GALAXY
23.26664,22.71098,20.86796,19.93557,19.29419,0.4538521,0.8135569,4.492697,10.60837,19.1282,0.3892747,1.517876,9.579929,23.61139,60.06243,0.981491,1.251465,6.153019,15.18859,28.45198,24.70826,22.26042,20.08616,19.09359,18.25161,GALAXY
22.24066,19.18771,17.50924,15.2433,14.03525,1.254372,21.13033,99.15193,799.2466,2431.644,1.265539,20.88812,97.67178,795.313,2398.169,2.005261,20.40849,96.19916,746.4978,2058.049,22.46699,19.25554,17.58316,15.29942,14.11977,STAR
20.63899,19.4415,18.71215,18.28296,18.0301,5.547882,16.72586,32.74418,48.61926,61.36185,23.58842,73.50938,133.4391,204.2768,252.8303,8.590602,25.49128,50.98433,75.40371,89.5891,19.17364,17.91145,17.22006,16.77917,16.59532,GALAXY
21.38497,19.99934,19.09991,18.63528,18.28082,2.785614,10.00524,22.90999,35.1461,48.70465,9.654805,31.46912,71.74215,119.7201,159.8654,5.620435,14.14241,34.60013,55.75121,72.90749,20.32008,18.8217,17.91111,17.38134,17.05276,GALAXY
23.52718,20.67857,19.53455,19.0215,18.66298,0.3377824,5.351182,15.35162,24.62506,34.24551,17.13466,54.97588,128.4784,191.6969,278.3337,1.634945,7.275346,21.92319,35.43652,50.52776,19.68596,18.33044,17.42266,16.98752,16.63164,GALAXY
22.78009,20.67805,19.61788,19.09705,18.72488,0.7472491,5.353747,14.21735,22.96958,32.34612,5.893486,26.32076,66.10349,102.8745,127.7565,3.066858,7.781955,21.21543,33.46233,46.58953,20.41854,18.99125,18.0412,17.58018,17.36473,GALAXY
23.73742,22.31995,20.24583,19.64205,19.16727,0.2586449,1.173508,7.972018,13.903,21.50692,5.271685,4.202414,20.6149,34.73635,42.10252,2.142792,1.713436,9.861604,18.67243,27.61904,21.49347,21.03799,19.2754,18.55662,18.30867,GALAXY
21.81874,19.68836,18.37579,17.79789,17.37458,1.862391,13.324,44.63547,76.0051,112.2406,9.03452,64.14806,210.9487,351.4612,542.3592,5.033281,17.21941,60.9645,105.8592,157.5237,20.40089,18.13772,16.81559,16.25184,15.79223,GALAXY
23.23153,21.28341,20.51592,20.11678,19.79039,0.4713394,3.063815,6.215406,8.976628,12.08441,19.66474,41.2059,72.37337,94.71108,93.34516,0.8074393,4.154662,9.976445,14.83758,20.02175,19.36957,18.53062,17.9291,17.78968,18.52036,GALAXY
20.90671,18.91337,17.9259,17.4985,17.12285,4.333765,27.20498,67.55206,100.1383,141.5304,16.72102,99.07782,236.8785,362.6526,492.4994,9.876984,36.03303,94.90921,146.9683,198.7155,19.65788,17.65394,16.68042,16.2073,15.83021,GALAXY
19.70231,19.37575,19.26462,19.00103,18.93156,13.15307,17.77011,19.68494,25.09379,26.73278,13.10139,17.62238,19.67631,25.11462,27.76369,12.86082,15.74439,19.58371,24.35816,26.4968,19.74446,19.41152,19.31615,19.03012,18.97728,QSO
21.22045,19.81854,18.96669,18.53277,18.13954,3.243505,11.81835,25.90082,38.62627,55.4762,7.333315,33.8531,78.10168,118.3216,147.5223,4.602665,16.63877,36.20024,54.35144,69.48778,20.34799,18.67139,17.82652,17.40494,17.17225,GALAXY
18.86763,17.76468,17.57444,17.57103,17.56523,28.37517,78.36637,93.37327,93.66721,94.16296,28.0673,81.23354,93.44534,95.42031,93.99609,48.68396,82.63626,94.01512,93.47443,92.99688,18.93231,17.76732,17.61302,17.60508,17.64639,STAR
20.10365,18.14647,17.25792,16.8523,16.4879,9.087324,55.13276,124.9775,181.5843,254.002,48.66474,206.2568,459.7152,685.2789,880.4207,16.99827,66.22681,160.741,239.3565,312.1801,18.48178,16.76161,15.85149,15.43335,15.11261,GALAXY
20.74212,19.02414,18.19344,17.85706,17.48538,5.044525,24.56623,52.7985,71.97334,101.3501,8.787229,46.65522,99.04146,136.9164,179.451,10.50879,28.1403,61.60028,85.54449,107.5722,20.18125,18.32907,17.51942,17.13894,16.85811,GALAXY
24.96261,23.62457,19.46496,18.83107,18.41884,-0.08586178,0.3321342,16.3679,29.34658,42.88806,-0.5788063,0.6072112,34.43325,60.26968,80.18153,2.904781,3.775858,20.31821,36.09216,49.87747,27.24267,22.46366,18.64174,18.03736,17.66714,GALAXY
21.83318,19.8554,18.49409,17.98773,17.57402,1.837505,11.42384,40.02766,63.81205,93.40379,4.89118,62.66592,229.0606,376.694,518.8588,4.526121,14.56118,54.2933,88.79034,122.3313,20.49585,18.16124,16.68983,16.16855,15.79402,GALAXY
23.60512,21.5483,19.83013,19.1961,18.68216,0.3071335,2.399223,11.69236,20.96666,33.64549,7.959135,4.031106,31.69528,54.79306,89.85499,0.6709066,2.627249,14.46653,26.51147,39.08358,21.90858,21.00772,18.84042,18.23782,17.68546,GALAXY
20.63414,20.34154,19.92876,20.31778,19.85113,5.572751,7.299898,10.67684,7.458255,11.42187,6.232182,8.244321,13.11713,9.296477,13.09325,6.45418,7.447608,11.48424,8.167754,16.1756,20.63202,20.24579,19.75296,20.1909,19.83057,GALAXY
20.16505,18.61767,17.84301,17.40597,17.05891,8.587419,35.72137,72.91156,109.0463,150.1157,27.71013,97.37901,194.6753,284.5609,365.1988,14.75483,45.13506,100.1034,146.0557,185.9151,19.0696,17.61762,16.82788,16.43031,16.17207,GALAXY
21.68689,20.10278,18.74084,18.21556,17.8207,2.105416,9.095908,31.8901,51.73359,74.4181,7.971901,31.83421,107.5848,174.8433,247.2253,2.739521,11.00399,42.47786,68.89297,94.24254,20.32666,18.80561,17.4001,16.8779,16.47199,GALAXY
20.89679,19.92815,19.80925,19.65622,19.54979,4.373603,10.68342,11.91947,13.72258,15.10234,121.9575,364.3716,487.6709,532.4568,463.891,8.148953,14.93421,22.42169,25.90734,29.73507,17.53428,16.17755,15.83609,15.90524,16.07904,GALAXY
18.02507,17.09915,17.35546,18.24519,18.07776,61.65506,144.6572,114.2393,50.34046,58.72556,232.348,443.0194,415.1755,275.7545,215.99,82.20724,170.9939,163.3442,70.65352,73.13708,16.64886,15.80815,15.91319,16.49297,16.74356,GALAXY
22.45086,20.67542,19.62411,19.09785,18.71648,1.027562,5.366755,14.13588,22.95274,32.59752,15.75587,60.83531,148.2175,235.7626,338.4431,2.318953,7.371755,21.04674,34.99388,50.35191,19.67488,18.13002,17.21531,16.71632,16.41713,GALAXY
22.35928,20.99556,20.22355,19.76558,19.52096,1.121168,3.995375,8.137392,12.40731,15.51065,25.93665,49.15533,91.61244,131.8737,164.1435,2.39568,6.283848,13.72149,21.12116,27.39986,19.07294,18.4834,17.71657,17.31707,17.36515,GALAXY
21.12542,20.16244,19.51936,18.91994,18.77658,3.541232,8.609444,15.56794,27.03987,30.84022,11.75278,38.19516,82.57433,133.9021,152.2952,5.911876,11.15556,24.06218,37.17847,48.67002,20.09863,18.63197,17.7915,17.30243,17.18429,GALAXY
21.06544,19.40163,18.58057,17.97812,17.66754,3.743,17.35148,36.96316,64.37974,85.69434,31.34844,92.26218,191.7131,284.0058,387.3377,7.674541,23.58456,58.43842,93.35743,124.5347,19.27576,17.79392,16.96149,16.53321,16.18769,GALAXY
20.43019,18.94786,18.11248,17.6279,17.29357,6.725685,26.35425,56.88611,88.88713,120.9365,21.41307,81.22881,199.6492,295.6043,394.3175,10.88368,33.27129,75.78455,118.1877,153.4511,19.15043,17.69403,16.75729,16.31297,16.01359,GALAXY
19.75275,18.62902,18.04877,17.63994,17.36659,12.55587,35.34988,60.32432,87.9067,113.0698,75.91331,238.0289,419.9193,577.7147,766.7705,28.96116,49.68472,90.44785,130.9207,165.9205,17.87275,16.57959,15.98186,15.66012,15.44548,GALAXY
21.58723,19.73549,18.42889,17.79276,17.35309,2.30952,12.75795,42.50508,76.36484,114.4838,13.30508,84.66129,225.771,344.0826,466.5025,5.158095,17.50188,59.29172,102.8751,152.3911,20.42026,17.9557,16.769,16.2548,15.88075,GALAXY
21.12029,19.77781,19.06779,18.41008,18.3578,3.558043,12.2702,23.59798,43.24732,45.36954,39.24934,96.44609,170.127,246.7598,298.8901,7.357577,17.82248,39.18219,61.5925,79.69969,18.69237,17.58919,17.00637,16.57886,16.49587,GALAXY
22.07478,20.29082,18.98689,18.39485,17.94773,1.466155,7.649141,25.42352,43.85847,66.19952,6.371316,29.52477,87.71673,142.6519,199.6484,2.45845,10.04146,33.31553,58.36023,85.1303,20.87042,18.94132,17.7152,17.17683,16.74036,GALAXY
21.76675,20.52189,19.63925,19.1763,18.89055,1.954739,6.182307,13.9402,21.35253,27.76331,14.64773,32.04519,63.98102,91.4223,143.7302,4.461279,9.618518,21.14127,32.662,42.15035,19.87194,18.75384,18.01099,17.63458,17.25075,GALAXY
21.59932,20.30085,19.42238,18.94794,18.58148,2.28375,7.57876,17.02266,26.35129,36.91777,9.020887,26.46512,61.36735,97.09038,141.3209,4.648686,10.81985,25.46752,40.08731,52.75956,20.00299,19.0064,18.11581,17.62727,17.24767,GALAXY
21.28308,19.14058,18.05028,17.51255,17.16772,3.060979,22.06781,60.23997,98.85036,135.8004,7.078162,50.16323,134.4374,217.1368,324.2111,7.242652,27.36428,77.63924,127.1076,178.1138,20.33536,18.34233,17.25469,16.73619,16.31972,GALAXY
22.00686,20.29722,19.11886,18.60679,18.26025,1.562464,7.604129,22.51344,36.08054,49.63695,4.727208,26.89757,83.55486,128.9144,208.8973,3.919044,10.58866,30.91318,49.06232,68.10962,20.83934,19.05896,17.86486,17.32589,16.86703,GALAXY
21.60044,19.38157,18.22631,17.71074,17.32181,2.281369,17.67512,51.22381,82.35728,117.8311,11.88176,58.53361,179.4811,297.815,401.7852,5.106922,20.5235,65.29597,108.6852,156.2133,19.96411,18.18319,16.95852,16.42153,16.08699,GALAXY
21.97738,20.39713,19.4183,18.75818,18.44763,1.606143,6.935447,17.08667,31.38449,41.76481,16.71325,27.20041,76.02956,119.9123,173.8634,2.270781,9.272182,26.9169,47.86642,68.77917,20.13288,18.95453,17.93375,17.34588,17.00985,GALAXY
22.16823,20.57082,19.05073,18.45053,18.09677,1.342961,5.909791,23.97157,41.66585,57.70598,1.874523,11.77985,55.3334,88.28262,128.4856,1.034879,6.452605,28.51971,49.02777,64.61221,21.76978,19.88385,18.19313,17.63773,17.18461,GALAXY
21.71015,19.69595,18.79528,18.25233,17.95763,2.060389,13.23119,30.33051,50.01046,65.59841,5.133891,36.91643,96.87844,141.8871,199.5923,5.381405,15.76023,40.5141,59.87949,78.48394,20.70878,18.69194,17.65368,17.21045,16.87121,GALAXY
21.61506,19.71588,18.6696,18.11786,17.76164,2.250641,12.99055,34.05299,56.60449,78.57891,15.09833,54.53778,152.5884,235.8052,330.8845,5.183383,15.64517,44.89076,69.35296,92.6059,19.77176,18.28318,17.12903,16.65149,16.32835,GALAXY
19.92663,19.48595,19.05293,18.82186,18.32641,10.6973,16.05478,23.92303,29.59653,46.70115,12.98552,23.28621,34.6223,44.25526,64.53474,13.3919,17.78712,27.71648,35.07523,52.91009,19.68142,19.07665,18.63646,18.39013,17.95501,QSO
18.73777,18.44841,18.71357,18.59821,18.55199,31.9805,41.74771,32.70132,36.36684,37.93484,32.34593,42.4257,33.02998,37.18858,37.50576,30.50752,38.36852,30.7882,34.89367,32.06676,18.77622,18.47271,18.7301,18.62227,18.60201,QSO
20.04436,18.7304,18.29806,17.844,17.64098,9.597581,32.19848,47.94842,72.84467,87.81666,75.34309,231.2884,385.9001,523.7244,652.4968,14.89627,41.14866,71.18245,99.57655,117.6153,17.85621,16.67697,16.14394,15.83175,15.66762,GALAXY
22.05293,20.06547,18.83469,18.31042,17.95219,1.496494,9.413926,29.24931,47.40502,65.92817,3.13767,34.38536,119.9676,193.996,266.3423,2.016346,10.02491,38.45061,62.51379,84.38837,21.07793,18.7768,17.42474,16.91556,16.56896,GALAXY
17.68934,16.59939,16.23433,16.09866,16.05293,83.99706,229.2148,320.826,363.528,379.1625,83.80632,232.4974,324.3827,370.3639,384.8663,120.1105,234.1752,332.3901,371.9623,382.3164,17.72145,16.6325,16.26282,16.1164,16.05388,STAR
21.51521,19.46773,18.26685,17.79899,17.34436,2.469024,16.32654,49.34676,75.92767,115.409,6.314662,51.38397,156.4733,240.7312,336.0483,6.618947,20.27565,63.24253,100.9443,134.9091,20.58929,18.33558,17.11336,16.62841,16.26789,GALAXY
19.89769,19.86814,19.81059,19.76051,19.3515,10.98631,11.29064,11.90469,12.46544,18.14182,10.80604,11.73736,12.89133,13.94399,19.52729,17.26844,11.67262,12.73716,13.39549,20.00156,20.05289,19.84309,19.6813,19.69548,19.26481,QSO
24.79774,22.32455,20.43143,19.77168,19.29181,-0.04220862,1.168496,6.718756,12.3377,19.17045,4.64978,4.24701,21.19924,43.97647,47.12185,0.9086405,1.609822,8.721739,17.06832,24.36068,22.48035,25.10552,19.13165,18.49938,18.19581,GALAXY
21.58853,19.69683,18.60317,18.19136,17.79796,2.306733,13.22054,36.20161,52.89941,75.99338,7.585574,35.00083,93.06155,140.2669,189.9575,5.648447,16.95914,47.34586,72.20921,96.29362,20.63285,18.69495,17.6326,17.18583,16.88575,GALAXY
23.82518,22.10502,20.18983,19.57872,19.15705,0.2286464,1.433142,8.394206,14.73836,21.71092,0.2884021,7.13136,26.52328,45.2138,66.21971,0.6862196,1.840428,10.39585,19.70428,28.02007,30.02636,20.70366,18.96064,18.41818,18.1163,GALAXY
21.61118,19.8584,19.10624,18.72232,18.38631,2.258761,11.39235,22.7768,32.43825,44.1931,11.6379,49.58706,105.5238,157.9204,176.5551,2.841816,14.43947,32.28253,48.17672,62.88499,19.83986,18.28228,17.52689,17.1333,17.02576,GALAXY
20.90884,19.36303,18.57294,18.25577,17.89792,4.325224,17.97955,37.22382,49.85242,69.30758,64.72523,236.0508,427.2318,613.1921,745.0255,5.817022,24.61117,54.67754,81.76239,105.0623,18.20591,16.64948,16.04546,15.68496,15.57454,GALAXY
24.09318,21.88111,20.10512,19.50785,18.96594,0.1455085,1.763727,9.075623,15.73273,25.89822,0.7658939,5.04717,25.64325,40.65151,61.6109,0.08114547,1.571592,11.48557,21.57648,30.47388,24.84354,20.8308,19.06259,18.50715,17.94177,GALAXY
17.88763,16.69078,16.81689,16.93591,17.00832,69.97544,210.7118,187.6051,168.1268,157.2762,69.00137,219.3251,189.1441,168.1457,158.3844,157.743,220.3103,195.4628,171.1775,157.4258,17.95604,16.70048,16.85418,16.99387,17.04641,STAR
21.22688,19.34895,18.33072,17.75562,17.28537,3.224257,18.21426,46.52763,79.02228,121.8533,19.70613,152.4452,360.8915,573.2585,846.9135,10.44288,28.42253,73.21142,128.2868,174.4212,19.88544,17.10073,16.1463,15.65229,15.32889,GALAXY
22.15235,20.04104,19.05234,18.47726,17.96599,1.36317,9.62818,23.93605,40.6524,65.09508,7.059589,57.67303,139.57,222.305,355.5306,5.068506,13.64276,36.68553,63.50167,92.58881,20.70523,18.20254,17.21555,16.69553,16.27275,GALAXY
20.91969,18.57674,17.50499,16.98391,16.69254,4.282155,37.09396,99.5412,160.8554,210.3678,75.08386,437.1947,1240.882,1961.307,2469.102,13.13864,55.04848,161.432,265.6449,375.3885,17.81336,15.959,14.85435,14.32612,14.07632,GALAXY
20.5037,18.50888,17.48368,17.00486,16.6367,6.284966,39.48621,101.5149,157.7814,221.4693,21.28938,128.9644,332.5586,533.3824,784.5746,14.30837,55.89,148.7082,235.3015,323.7278,19.34438,17.3058,16.2607,15.75183,15.37132,GALAXY
24.9797,22.12518,20.33139,19.64719,19.13706,-0.09048248,1.406564,7.367628,13.83723,22.1151,11.96324,2.60681,13.21914,25.68956,40.76991,0.4973353,1.436326,8.465164,16.91258,24.78008,21.09184,21.2984,19.61641,18.86607,18.13408,GALAXY
19.86421,18.44486,17.71179,17.25798,16.88039,11.33053,41.88437,82.27787,124.9701,176.9444,36.17949,135.1729,269.0388,410.5862,551.4985,20.48152,59.97637,123.0019,187.9737,235.6881,18.63038,17.19698,16.46735,16.01239,15.72951,GALAXY
20.79892,18.86172,17.86793,17.38604,16.96726,4.786973,28.53039,71.25692,111.0662,163.3377,76.11179,415.0299,865.7125,1265.339,1884.903,10.84087,42.63728,117.9634,193.418,266.7025,17.87394,16.20876,15.30955,14.88101,14.56633,GALAXY
